doc_id,topic_0,topic_2,topic_13,topic_10,topic_5,topic_7,topic_1,topic_4,topic_6,topic_9
44224,0.2557874619960785,0.2619911730289459,0.0,0.0,0.0,0.03268539533019066,0.0,0.0,0.013253138400614262,0.33111733198165894
44219,0.0,0.0,0.8223803639411926,0.0,0.0,0.011684199795126915,0.0,0.0448911190032959,0.07891393452882767,0.0
44214,0.08010272681713104,0.0,0.7818902134895325,0.015814924612641335,0.0,0.051897138357162476,0.0,0.0,0.02698066271841526,0.0
44211,0.6526162028312683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2355535328388214
44210,0.21168376505374908,0.30266866087913513,0.0,0.0,0.0,0.0,0.11480099707841873,0.0,0.0,0.21768274903297424
44209,0.0,0.41383805871009827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44207,0.0,0.0,0.0,0.0,0.0,0.11072474718093872,0.0,0.0,0.5306602716445923,0.3164792060852051
44191,0.0,0.6266286969184875,0.0,0.0,0.0,0.0740043893456459,0.02216341905295849,0.0,0.0,0.057456016540527344
44188,0.0,0.0,0.2735910713672638,0.0,0.0,0.134386345744133,0.0,0.3309975862503052,0.10597304999828339,0.0
44182,0.07664579898118973,0.0,0.0,0.0,0.0,0.1404087096452713,0.0,0.1247219666838646,0.1848365068435669,0.25570663809776306
44181,0.13404728472232819,0.4003393054008484,0.0,0.0,0.0,0.22086206078529358,0.0,0.0,0.0,0.15088632702827454
44176,0.0,0.04191967844963074,0.0,0.0,0.0,0.08069270849227905,0.0,0.0,0.5650782585144043,0.12563985586166382
44175,0.5428226590156555,0.03149498254060745,0.0,0.019305750727653503,0.0,0.0,0.3152894079685211,0.0,0.0,0.0
44172,0.0,0.0,0.0,0.0,0.0,0.21364052593708038,0.0,0.1470421850681305,0.6219119429588318,0.0
44166,0.0,0.0,0.30766263604164124,0.0,0.0,0.22619163990020752,0.0,0.07541880756616592,0.01522544864565134,0.0
44164,0.0,0.05628383159637451,0.0,0.0,0.0,0.03715011849999428,0.0,0.1701042503118515,0.3256714940071106,0.3499941825866699
44163,0.03791849687695503,0.025873636826872826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26728302240371704
44161,0.05569292604923248,0.0,0.4939614236354828,0.0,0.0,0.0,0.0,0.022713223472237587,0.21252095699310303,0.19951848685741425
44160,0.2661994695663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148312509059906
44159,0.0,0.0,0.3190200626850128,0.0,0.0,0.0,0.0793587863445282,0.10362670570611954,0.12288496643304825,0.23755337297916412
44156,0.3539995849132538,0.5858497619628906,0.03961610421538353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44149,0.0,0.0,0.48168838024139404,0.0,0.0,0.016378862783312798,0.0,0.19540590047836304,0.17648620903491974,0.0
44147,0.16061261296272278,0.0,0.0,0.0,0.0,0.02494901604950428,0.0,0.0,0.025209110230207443,0.3318746089935303
44146,0.0,0.0,0.509580135345459,0.0,0.0,0.06338056176900864,0.02868957631289959,0.0,0.0,0.07381521165370941
44144,0.5325798988342285,0.2721204161643982,0.0,0.0,0.0197499617934227,0.08461994677782059,0.0,0.0,0.0,0.0
44143,0.3052341043949127,0.5214275121688843,0.0,0.0,0.0,0.0,0.0,0.08353754132986069,0.0,0.0
44137,0.39171871542930603,0.0,0.06413599848747253,0.0,0.0,0.0,0.0,0.2346033751964569,0.0725981816649437,0.0
44136,0.0,0.0,0.18782740831375122,0.0,0.03923976793885231,0.0,0.0,0.5368621945381165,0.169391930103302,0.0
44133,0.04067438840866089,0.17109063267707825,0.0,0.0,0.0,0.17272570729255676,0.0,0.34025657176971436,0.0,0.0766095519065857
44131,0.0,0.0,0.1219388023018837,0.04837869480252266,0.0,0.2774216830730438,0.0,0.0,0.26303941011428833,0.0
44130,0.0,0.0,0.11649126559495926,0.0,0.0,0.0,0.0,0.0,0.8112497925758362,0.0
44126,0.5984406471252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16900375485420227
44125,0.0,0.0,0.36500662565231323,0.0,0.0,0.0,0.03756991773843765,0.0,0.0,0.5230166912078857
44124,0.6598405838012695,0.0,0.0,0.0,0.12013702839612961,0.04271232709288597,0.0,0.0,0.05304046720266342,0.0
44122,0.25751498341560364,0.3853837251663208,0.023686483502388,0.0,0.0,0.1913394182920456,0.07330933958292007,0.04289165884256363,0.020875686779618263,0.0
44117,0.30177274346351624,0.38211655616760254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30448079109191895
44110,0.19907544553279877,0.0,0.0,0.0,0.0,0.03569254279136658,0.0,0.0,0.0,0.12401844561100006
44109,0.11524651944637299,0.7000424265861511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1641818732023239
44107,0.13926765322685242,0.0,0.0,0.0,0.0,0.025258755311369896,0.0,0.0,0.10613732784986496,0.28659600019454956
44105,0.42817243933677673,0.5209810733795166,0.0,0.0,0.0,0.019025159999728203,0.0,0.0,0.0,0.0
44103,0.0,0.0,0.0,0.0,0.0,0.0,0.03731807693839073,0.07407396286725998,0.0,0.45367103815078735
44099,0.0,0.0,0.3062153160572052,0.0,0.17722414433956146,0.0,0.0,0.2122873067855835,0.0,0.2770753502845764
44098,0.07537956535816193,0.0,0.0,0.0,0.0,0.1987915188074112,0.0,0.13638609647750854,0.39894771575927734,0.0
44097,0.0,0.18062427639961243,0.23120374977588654,0.0,0.0,0.0,0.0,0.0,0.0,0.2226942628622055
44096,0.601529598236084,0.19698749482631683,0.0,0.0,0.0,0.013147445395588875,0.0,0.0,0.10864920914173126,0.0
44095,0.05244359001517296,0.0,0.1529088318347931,0.0,0.050240419805049896,0.04287298396229744,0.06912160664796829,0.36876413226127625,0.0,0.0649186298251152
44094,0.03603177145123482,0.0,0.0,0.0,0.0,0.0,0.07395945489406586,0.1451086550951004,0.0,0.0
44090,0.2742041051387787,0.4907415211200714,0.10323905944824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44089,0.0,0.0,0.21190029382705688,0.0,0.0,0.0,0.0,0.0,0.0,0.08156032115221024
44087,0.4763769209384918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25393471121788025,0.0
44086,0.0,0.0,0.0709981843829155,0.0,0.0,0.04571493715047836,0.0706946924328804,0.0,0.0,0.24580007791519165
44085,0.0,0.059707462787628174,0.0302804633975029,0.0,0.0,0.0335453525185585,0.04046639800071716,0.03704923018813133,0.0,0.026114730164408684
44084,0.3347550928592682,0.22914014756679535,0.0,0.0,0.0,0.029120832681655884,0.021850252524018288,0.0,0.0,0.0854409858584404
44083,0.6620906591415405,0.04839031770825386,0.0,0.0,0.0,0.24125216901302338,0.0,0.0,0.0,0.0
44082,0.3433167040348053,0.0,0.1935146003961563,0.0,0.0,0.0,0.0,0.03454437851905823,0.0,0.24819988012313843
44078,0.1521567404270172,0.06614917516708374,0.0,0.0,0.0,0.015225779265165329,0.5102104544639587,0.07726175338029861,0.0,0.0
44076,0.3803940415382385,0.33161789178848267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185949519276619
44075,0.2494044303894043,0.0,0.0,0.0,0.0,0.16750295460224152,0.0,0.23349560797214508,0.0,0.0
44070,0.0,0.0,0.0,0.0,0.0,0.0,0.06359987705945969,0.10001817345619202,0.09956641495227814,0.46713587641716003
